DocI	tf
103	2
104	1
111	1
113	1
114	1
119	1
124	2
127	1
128	1
129	2
130	1
16	1
40	1
63	1
124	1
62	1
42	1
47	1
63	1
122	1
20	2
38	1
47	1
57	1
60	1
63	1
64	1
71	1
75	1
120	1
124	1
49	1
70	1
71	1
94	1
124	1
55	1
70	1
80	3
73	1
34	1
124	1
30	1
104	1
36	1
58	1
37	1
73	1
55	1
72	1
2	5
3	5
4	3
5	1
6	2
7	3
8	2
9	1
10	5
11	1
12	2
13	1
14	6
16	5
17	1
18	6
19	1
20	6
21	5
22	4
23	2
24	4
25	4
26	3
27	3
28	5
30	3
31	5
32	2
33	7
34	2
35	1
36	6
37	1
38	14
39	1
40	1
42	2
43	1
44	2
45	7
46	7
47	4
48	3
49	5
50	3
52	4
53	4
54	3
55	2
56	2
57	2
58	4
60	12
61	5
62	3
63	4
64	7
65	5
66	1
67	3
68	2
69	2
70	6
71	10
72	6
73	4
74	4
75	4
76	4
77	4
78	5
79	5
80	5
81	9
82	4
83	3
84	3
85	11
86	4
87	1
88	2
89	8
90	5
92	5
93	1
94	5
95	4
96	5
97	12
98	1
99	2
101	2
102	1
103	5
104	3
105	5
106	2
107	3
108	2
109	1
110	6
111	1
112	1
113	9
114	4
115	1
116	2
117	1
118	3
119	3
120	5
121	8
122	1
124	3
126	3
127	7
128	2
129	5
130	4
42	1
56	1
62	1
80	4
124	1
6	1
10	1
19	1
21	1
33	1
84	1
97	1
117	1
122	1
127	1
13	1
13	4
60	2
5	2
27	1
42	1
58	1
70	1
113	1
62	1
97	1
18	15
19	5
20	7
24	1
36	5
38	1
39	1
118	1
120	1
57	11
9	1
42	2
43	1
49	1
50	1
85	1
105	1
113	1
120	1
124	1
12	1
42	2
80	2
92	2
107	1
47	1
102	1
113	1
113	1
85	2
25	2
71	2
85	1
104	1
5	1
6	1
8	1
13	1
34	3
38	1
39	1
40	1
48	1
49	1
50	1
58	2
61	3
66	1
76	2
79	1
80	1
81	2
83	1
95	1
105	1
111	1
113	2
114	1
129	1
16	1
38	1
39	1
67	1
120	1
58	1
27	1
75	1
78	1
90	1
94	1
127	2
64	1
10	1
36	1
58	2
60	2
88	1
103	1
112	1
124	2
49	1
2	1
60	1
61	1
62	1
50	1
90	1
107	1
90	1
38	1
58	2
60	2
65	1
12	1
2	2
4	3
5	5
6	9
7	1
8	1
10	12
11	2
12	2
13	4
14	2
16	12
17	2
18	11
19	8
20	3
21	7
22	2
23	2
24	5
25	1
26	5
27	4
28	2
30	14
31	4
33	3
34	2
36	2
37	3
38	9
39	3
40	2
42	7
43	1
44	1
45	5
46	2
47	1
48	8
49	5
50	5
52	4
53	6
54	1
55	3
56	6
57	3
58	10
60	13
61	4
62	4
63	5
64	8
65	5
66	7
67	3
68	2
69	2
70	6
71	3
72	1
73	3
74	3
75	12
76	3
77	6
78	4
79	5
80	12
81	7
82	1
83	1
84	2
85	6
86	2
87	3
89	3
90	1
92	6
93	4
94	1
95	6
96	9
97	5
98	4
101	3
102	4
103	6
104	2
105	3
106	4
107	7
108	6
109	2
110	1
111	1
112	5
113	9
114	4
115	4
116	4
118	5
119	6
120	7
121	6
122	6
124	12
126	1
127	4
128	2
129	5
130	2
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
124	1
126	1
127	1
128	1
129	1
130	1
65	2
52	2
56	1
113	1
6	1
8	1
11	1
20	1
28	2
52	1
61	1
80	4
97	1
98	1
103	1
111	1
127	1
58	1
16	5
20	1
45	1
73	1
20	1
36	1
42	1
50	1
119	1
11	1
12	1
21	1
119	1
11	1
128	1
44	1
115	1
80	2
121	1
25	1
27	1
64	1
73	1
111	2
22	1
49	1
89	1
124	1
129	1
105	1
36	2
44	1
26	1
80	1
90	1
50	1
60	1
105	1
95	1
98	1
13	4
2	1
